Complexity,Loss,Equation
1,0.009663899,"0.2299097"
4,0.004542152,"x0 - cube(x0)"
5,0.0021697122,"x0 * (1.1274921 - x0)"
6,0.0019552237,"0.31359008 - square(x0 - 0.5866947)"
7,0.0019552235,"(x0 * (1.1734099 - x0)) + -0.03062959"
8,0.0018865663,"0.32231563 - square((0.5790687 - x0) * 1.0574396)"
9,0.0017452103,"0.51370484 - square(square(x0 - 0.5759499) - -0.4447421)"
10,0.0016895363,"0.39266226 - square(square(-0.5392167 - square(0.56813306 - x0)))"
11,0.001675576,"0.39796656 - sin(square(square(-0.54585576 - square(0.56917006 - x0))))"
12,0.0014999228,"square(0.56649727 - square(square(cube(square(x0 - 0.56353694) - -0.70643365))))"
13,0.001452083,"square(square(sin(square(cube(square(x0 - 0.5688957) - -0.71586657)))) - 0.5684313)"
15,0.0014460331,"square(sin(square(square(cube(square(0.5672821 - x0) - -0.7074195)))) - 0.57456315) + -0.011019948"
16,0.0014255279,"cube(x2) + square(0.5632499 - sin(square(cube(square(square(x0 - 0.5664087) - -0.70696497)))))"
17,0.0014204788,"cube(x2) + (0.9808447 - sin(square(cube(square(-0.73509425 - square(x0 - 0.56592804)))) - -0.72299945))"
18,0.0014126414,"cube(x2) + (0.9969565 - sin(sin(square(cube(square(square(0.56840444 - x0) - -0.7413409)))) - -0.74017626))"
19,0.0013809717,"sin(square(cube(sin(square(square(square(0.5695936 - x0) - -0.72897166)))) - 0.57306015) + cube(x2 - -0.10545191))"
20,0.0013730195,"sin((cube(x2 - -0.110794455) - sin(square(square(cube(-0.73509485 - square(0.5659282 - x0)))) - -0.7229994)) + 0.98084474)"
21,0.0013722924,"sin((cube(x2 + 0.120648235) + 0.98215455) - sin(square(-0.8355964 - square(square(square(-0.6386264 - square(0.568937 - x0)))))))"
22,0.0013692848,"sin(sin(cube(x2 + 0.12536822) + (0.98115647 - sin(square(-0.83053803 - square(square(square(square(0.56855 - x0) - -0.64094627))))))))"
23,0.0013668124,"sin(sin(sin((cube(x2 + 0.12729272) + 0.98013335) - sin(square(square(square(square(-0.64322764 - square(0.56825805 - x0)))) - -0.8251574)))))"
24,0.0013649774,"sin(sin(sin(sin((cube(x2 + 0.12993407) + 0.9786146) - sin(square(-0.8191563 - square(square(square(-0.64556575 - square(0.5680508 - x0))))))))))"
25,0.0013638109,"sin(sin(sin(sin(sin(0.97828054 - sin(square(-0.81429505 - square(square(square(square(0.5675657 - x0) - -0.6477367)))))) + cube(x2 + 0.13057615)))))"
26,0.0013632445,"sin(sin(sin(sin(sin(sin(0.97729427 - sin(square(square(square(square(-0.650069 - square(x0 - 0.5671455)))) - -0.80853385)))) + cube(x2 + 0.13080902)))))"
27,0.0013632443,"sin(sin(sin(sin(sin(sin(0.97729427 - sin(square(-0.80853385 - square(square(square(square(x0 - 0.5671455) - -0.650069))))))) + sin(cube(x2 + 0.13080902))))))"
28,0.0013603301,"sin(sin(sin(sin(sin(((0.9790313 - sin(square(-0.8158772 - square(square(square(square(0.56750566 - x0) - -0.64750415)))))) / cos(x2)) + cube(x2 + 0.12560955))))))"
29,0.0013600538,"sin(sin(sin(sin(sin(cube(sin(x2 + 0.13264711)) + ((0.9783751 - sin(square(square(square(square(square(x0 - 0.5675396) - -0.64746475))) - -0.8155347))) / cos(x2)))))))"
30,0.0013594889,"sin(sin(sin(sin(sin(sin((0.97733927 - sin(square(square(square(square(-0.649957 - square(0.5671281 - x0)))) - -0.8096104))) / cos(x2)) + cube(sin(x2 + 0.1330346)))))))"
