Complexity,Loss,Equation
1,0.009663899,"0.22991922"
4,0.004542152,"x0 - cube(x0)"
5,0.002466955,"x0 * cube(cos(x0))"
6,0.0019552237,"0.3135953 - square(x0 + -0.58670247)"
8,0.0017855753,"sin(exp(square(x0 + -0.5783433)) + 1.819277)"
9,0.0017792892,"sin(sin(exp(square(x0 + -0.5795402)) + 1.8161762))"
10,0.0014642708,"square(cos(exp(square(square(-0.9138897 - (x0 * -1.6059932))))))"
12,0.0014364849,"square(cos(exp(square(square(-0.9228431 - (x0 * -1.6245803))) - 0.007447308)))"
13,0.001392542,"square(cos(exp(square(square(-0.92069536 - (x0 * -1.6204084)))) * cos(x2)))"
15,0.0013609661,"square(cos(exp(square(square(-0.919839 - (x0 * -1.6198004))))) / cos(x2 - -0.116840154))"
16,0.0013514599,"square(cos(exp(square(square(-0.92207915 - (x0 * -1.6230297))) - square(cube(x2 - -0.37523293)))))"
17,0.0013464278,"square(cos(exp(square(square(-0.92230994 - (x0 * -1.6236249))) - (square(-0.07218742 - x2) * 0.49637735))))"
23,0.0013405298,"sin(square(cos(exp(square(square(-0.91956943 - (x0 * -1.6193675))))) / ((square(x1 / -0.21568483) + 0.98883486) - square(-0.056040496 - x2))))"
24,0.0013399512,"sin(square(cos(exp(square(square(-0.9197373 - (-1.6197855 * x0))))) / ((square(x1 / -0.21477574) + 0.98868185) - square(sin(-0.057799675 - x2)))))"
25,0.001334425,"square(sin(cos(exp(square(square((-1.62771 * x0) - -0.91808957)))) / ((0.9467547 + square((x1 / x0) / -0.6079096)) - square(x2 - -0.05845687))))"
26,0.0013295318,"sin(square(sin(cube(-0.13233186 - x2) - (cos(exp(square(square((x0 * -1.6363119) - -0.9226918)))) / (0.93527806 + square((x1 / 0.5797438) / x0))))))"
27,0.0013290113,"sin(square(sin(cube(-0.13529705 - x2) - (cos(exp(square(square((x0 * -1.6368763) - -0.9230942)))) / (square((x1 / 0.57969916) / sin(x0)) + 0.9348215)))))"
