Complexity,Loss,Equation
1,0.009663899,"0.22991832"
4,0.004542152,"x0 - cube(x0)"
5,0.002466955,"cube(cos(x0)) * x0"
6,0.0019552237,"0.31359023 - square(x0 + -0.58669645)"
8,0.0018865663,"0.3223221 - square((x0 + -0.57906246) * 1.0575022)"
9,0.001763426,"(0.57449174 / cube(cos(x0 - 3.721809))) + 0.89012253"
10,0.0016696211,"cube(-0.39106545 / cos(cos(x0 / 0.36641648))) - -0.3747273"
11,0.001537122,"(-0.009191347 / square(cube(cos(cos(x0 * 2.7819118))))) - -0.3064926"
12,0.0014856551,"cube(sin(-0.22980261 / square(cos(cos(x0 * 2.7666543))))) - -0.31339568"
13,0.0014369058,"cube(-0.38272557 / cos(square(cos((1.0854591 - x0) / 0.3292251)))) - -0.35424605"
14,0.0014360822,"sin(cube(-0.38456023 / cos(square(cos((x0 - 1.0843098) / -0.3285167)))) - -0.35933566)"
15,0.001435502,"sin(sin(cube(-0.38626403 / cos(square(cos((x0 - 1.082793) / 0.32762575)))) - -0.3645705))"
16,0.0014023146,"cube(-0.38272557 / cos(square(cos((1.0854591 - x0) / 0.3292251)))) + (cube(x2) - -0.35424605)"
17,0.0013874492,"(cube(-0.38287228 / cos(square(cos((1.0861771 - x0) / 0.32959965)))) - -0.35417727) + (x2 * 0.065242976)"
18,0.001343899,"(cube(-0.38279548 / cos(square(cos((1.0859141 - x0) / 0.32944918)))) - -0.34828538) + cube(x2 + 0.119090736)"
19,0.0013427158,"sin((cube(x2 + 0.12009962) + cube(-0.38443562 / cos(square(cos((x0 - 1.0841478) / 0.3283966))))) - -0.35323623)"
20,0.0013421525,"sin(sin(cube(x2 + 0.12013951) + (cube(-0.38650545 / cos(square(cos((x0 - 1.0824051) / 0.32744464)))) - -0.35859942)))"
22,0.0013372172,"sin(((cube(-0.38457182 / cos(square(cos((1.0844188 - x0) / 0.32859084)))) - -0.35071748) + cube(x2 + 0.14956911)) - cube(x2))"
24,0.0013372143,"sin(((cube((-0.8828625 * 0.43561506) / cos(square(cos((x0 - 1.0844188) / 0.32859084)))) - -0.35071748) + cube(x2 + 0.14956911)) - cube(x2))"
26,0.0013363295,"sin(((cube(-0.38413575 / cos(square(cos((x0 - 1.0840521) / 0.32832918)))) - -0.350271) + cube(x2 + 0.14939247)) - (cube(x2) / (1.5795856 - x0)))"
27,0.0013363288,"sin(((cube(-0.38413575 / cos(square(cos((1.0840521 - x0) / 0.32832918)))) - -0.350271) + cube(x2 + 0.14939247)) - (cube(x2) / (1.563837 - sin(x0))))"
28,0.0013363267,"sin(((cube(-0.38413575 / cos(square(cos((x0 - 1.0840521) / 0.32832918)))) - -0.350271) + cube(x2 + 0.14939247)) - (cube(sin(sin(x2))) / (1.563837 - x0)))"
29,0.0013362997,"sin((cube(-0.38413575 / cos(square(cos((x0 - 1.0840521) / 0.32832918)))) - -0.350271) + (cube(x2 + 0.14939247) - (cube(x2) / (1.563837 - sin(x0 - -0.09741161)))))"
30,0.0013340963,"sin(sin(((((x1 + cube(-0.38633674 / cos(square(cos((x0 - 1.0829613) / 0.32770032))))) - -0.35610953) - x1) + cube(x2 + 0.15193179)) - (cube(x2) + square(x1))))"
