Complexity,Loss,Equation
1,0.009663899,"0.22991756"
4,0.004542152,"x0 - cube(x0)"
5,0.002466955,"x0 * cube(cos(x0))"
6,0.0021614225,"x0 * sin(cube(cos(x0)))"
7,0.0020155956,"cube(cos(x0)) * (x0 + -0.030878713)"
8,0.0020049405,"sin((x0 + -0.027415346) * cube(cos(x0)))"
10,0.0019810044,"(cube(cos(x0)) * (x0 + -0.030878713)) + cube(x2)"
11,0.0015459151,"square(square(sin(sin(sin(sin(x0 * -2.7646518) * 1.7206904)))))"
12,0.0014901716,"square(square(sin(sin(sin(sin(sin(x0 * 2.7560089)) * 1.7926512)))))"
13,0.0014577688,"square(square(sin(sin(sin(sin(sin(sin(x0 * 2.7624109))) * -1.906391)))))"
14,0.001440719,"square(square(sin(sin(sin(sin(sin(x0 * 2.765071)) * -1.8889449)))) - 0.011895186)"
15,0.0014394653,"sin(square(square(sin(sin(sin(sin(sin(x0 * 2.765286)) * -1.8849432)))))) + -0.007937365"
16,0.0014244975,"sin(square(square(sin(sin(sin(sin(sin(x0 * 2.760303)) * -1.8167856))) - cube(x2))))"
17,0.0014069314,"square(square(cube(x2) - sin(sin(sin(sin(sin(x0 * 2.7619095)) * -1.8797268) / 1.0207205))))"
18,0.0013848871,"square(square(sin(cube(x2 - -0.11308046) - (sin(sin(sin(x0 * 2.7605715) * -1.752749)) / 1.0188624))))"
19,0.0013659175,"square(square((cube(x2 - -0.07828812) - sin(sin(sin(-1.8731519 * sin(sin(x0 * 2.7664366)))))) / 1.0150119))"
20,0.0013542988,"sin(square(square(sin(sin(sin(sin(sin(x0 * 2.7648418)) * -1.8769245) - cube(x2 - -0.17873265)))))) + -0.013537034"
23,0.0013521455,"square(sin(sin(sin(sin(square(x2 + 0.06739867) - sin(sin(sin(square(sin(sin(sin(sin(x0 * 2.761527))))) * -2.584419))))))))"
24,0.0013500231,"sin(square(sin(sin(sin(sin(sin(sin(sin(square(sin(sin(sin(sin(x0 * -2.7649956))))) * -2.6326976))) - square(x2 + 0.07264279)))))))"
25,0.0013486112,"sin(square(sin(sin(sin(0.02151484 - sin(square(x2 + 0.07609893) - sin(sin(sin(square(sin(sin(sin(x0 * -2.7648582)))) * -2.6157975)))))))))"
26,0.0013480404,"sin(square(sin(sin(sin(sin(0.022200966 - (square(x2 + 0.07394676) - sin(sin(sin(sin(square(sin(sin(sin(x0 * -2.764618))))) * -2.6192183))))))))))"
29,0.0013330758,"square(sin(sin(sin(sin(square(x2 + 0.07064463) - sin(sin(sin(square(sin(sin(sin(sin(x0 * -2.7645226))))) * -2.6767068))))) - (x1 * (x1 / 0.05848251)))))"
30,0.0013330339,"square(sin(sin(((x1 * x1) / 0.05860278) - sin(sin(square(sin(x2) + 0.07103225) - sin(sin(sin(square(sin(sin(sin(sin(x0 * -2.764558))))) * -2.6768634))))))))"
