Complexity,Loss,Equation
1,0.009663899,"0.2299097"
4,0.004542152,"x0 - cube(x0)"
5,0.0041092117,"sin(x0 - cube(x0))"
6,0.0026863513,"x0 / square(exp(square(x0)))"
7,0.002180909,"(x0 - sin(cube(x0))) * 0.84470093"
8,0.0019281821,"sin((x0 * 1.5237027) - -0.6870371) + -0.6769091"
9,0.0017818721,"sin(sin((x0 * 1.8808589) - -0.48638487)) + -0.5224731"
10,0.0016306441,"-0.6835061 + sin(sin(sin(x0 * 2.7767317)) - -0.5609257)"
11,0.0015878052,"(sin(sin(x0 * 2.7661328) - -0.46398544) + -0.59776676) * 0.7699657"
14,0.0015852279,"sin(sin(x0 + (x0 - -0.4306656)) * 1.417226) + (-0.6829668 + cube(x2))"
15,0.0015703015,"((x2 * 0.064766094) + -0.6830557) + sin(sin(x0 + (x0 - -0.43068615)) * 1.4175372)"
16,0.00156026,"(sin(sin((square(x0) + x0) + (x0 - -0.38554382)) + x0) * 0.6432875) + -0.33939672"
17,0.0015588781,"sin((sin(x0 + sin(x0 + ((x0 - -0.38682428) + square(x0)))) * 0.6565052) + -0.34822378)"
18,0.0014357672,"square(sin(sin(sin(sin(sin(sin(0.1259831 - ((x0 + x0) + x0)) * -1.5759029))))) + -0.08289544)"
21,0.0014279383,"square(cube(x2) - sin(sin(sin(sin(sin(sin(sin(sin(x0 + (x0 + (x0 - 0.13984428))) * -1.3033805))))))))"
23,0.0013890038,"square(sin(sin(sin(sin(sin(cube(x2 - -0.20114803) - sin(sin(-1.2646583 * sin(((x0 - 0.14240095) + x0) + x0)))))))))"
24,0.0013785219,"sin(square(sin(sin(sin(cube(-0.18402565 - x2) - sin(sin(sin(sin(sin((x0 + x0) + (x0 - 0.14232685)) * 1.2517558)))))))))"
29,0.0013594547,"square(sin(sin(sin(sin(sin((sin(((sin(x0 + ((x0 - 0.13250923) + x0)) * -1.8482842) - -0.12536262) - cube(x2)) * -0.7805629) - cube(-0.21849194 - x2)))))))"
