Ct,a
0.650835, 0.243423
0.654068, 0.243423
0.657153, 0.243423
0.660114, 0.243423
0.662958, 0.243423
0.665689, 0.243423
0.668311, 0.243423
0.670828, 0.243423
0.673246, 0.243423
0.675567, 0.243423
0.677796, 0.243423
0.679936, 0.243423
0.681990, 0.243423
0.683962, 0.243423
0.685856, 0.243423
0.687663, 0.243423
0.689373, 0.243423
0.690987, 0.243423
0.692537, 0.243423
0.694025, 0.243423
0.695453, 0.243423
0.696824, 0.243423
0.698133, 0.243423
0.699391, 0.243423
0.700599, 0.243423
0.701758, 0.243423
0.702871, 0.243423
0.703940, 0.243423
0.704966, 0.243423
0.705951, 0.243423
0.706897, 0.243423
0.707805, 0.243423
0.708677, 0.243423
0.709514, 0.243423
0.710317, 0.243423
0.711088, 0.243423
0.711821, 0.243423
0.712517, 0.243423
0.713186, 0.243423
0.713827, 0.243423
0.714443, 0.243423
0.715035, 0.243423
0.715602, 0.243423
0.716144, 0.243423
0.716665, 0.243423
0.717165, 0.243423
0.717645, 0.243423
0.718106, 0.243423
0.718547, 0.243423
0.718965, 0.243423
0.719364, 0.243423
0.719746, 0.243423
0.720114, 0.243423
0.720466, 0.243423
0.720805, 0.243423
0.721130, 0.243423
0.721442, 0.243423
0.721742, 0.243423
0.722029, 0.243423
0.722305, 0.243423
0.722571, 0.243423
0.722825, 0.243423
0.723069, 0.243423
0.723304, 0.243423
0.723529, 0.243423
0.723745, 0.243423
0.723953, 0.243423
0.724152, 0.243423
0.724343, 0.243423
0.724527, 0.243423
0.724703, 0.243423
0.724873, 0.243423
0.725035, 0.243423
0.725191, 0.243423
0.725341, 0.243423
0.725484, 0.243423
0.725622, 0.243423
0.725755, 0.243423
0.725882, 0.243423
0.726004, 0.243423
0.726121, 0.243423
0.726234, 0.243423
0.726342, 0.243423
0.726446, 0.243423
0.726545, 0.243423
0.726641, 0.243423
0.726733, 0.243423
0.726821, 0.243423
0.726905, 0.243423
0.726987, 0.243423
0.727064, 0.243423
0.727139, 0.243423
0.727211, 0.243423
0.727280, 0.243423
0.727346, 0.243423
0.727410, 0.243423
0.727471, 0.243423
0.727529, 0.243423
0.727586, 0.243423
0.727640, 0.243423
0.727691, 0.243423
0.727741, 0.243423
0.727789, 0.243423
0.727835, 0.243423
0.727879, 0.243423
0.727921, 0.243423
0.727962, 0.243423
0.728001, 0.243423
0.728038, 0.243423
0.728074, 0.243423
0.728108, 0.243423
0.728141, 0.243423
0.728173, 0.243423
0.728204, 0.243423
0.728233, 0.243423
