name,CT,Ctprime,Ctprime_LES,Cp,Cp_LES,ud_LES,ud,ud_stderr,a_LES,a,a_stderr,M,shear,veer,veer_deg,shear_m_s,shear_format,veer_format
shear_03_veer_04_ctp_00,0.61670000,0.93844996,0.89151885,0.49992558,0.51291530,0.83170959,0.81064632,0.00000002,0.16829041,0.18935368,0.00000002,0.97467472,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_04_ctp_01,0.68670000,1.12314656,1.05642168,0.53694816,0.55364568,0.80624098,0.78192538,0.00000009,0.19375902,0.21807462,0.00000009,0.96984077,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_04_ctp_02,0.75670000,1.34416329,1.24943367,0.56775319,0.58888297,0.77822515,0.75030157,0.00000577,0.22177485,0.24969843,0.00000577,0.96411888,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_04_ctp_03,0.82670000,1.61863240,1.48275272,0.59080994,0.61728758,0.74668874,0.71466062,0.00001295,0.25331126,0.28533938,0.00001295,0.95710646,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_04_ctp_04,0.89670000,1.97960640,1.77922192,0.60350564,0.63658396,0.70991855,0.67302959,0.00002286,0.29008145,0.32697041,0.00002286,0.94803776,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_04_ctp_05,0.96670000,2.49982305,2.18665449,0.60115013,0.64275801,0.66489915,0.62185800,0.00004828,0.33510085,0.37814200,0.00004828,0.93526665,0.00000000,0.00000000,0.00000000,0.00000000,0.00,0.00
shear_03_veer_05_ctp_00,0.61670000,0.94157006,0.89433230,0.49909659,0.51210789,0.83040034,0.80930208,0.00000041,0.16959966,0.19069792,0.00000041,0.97459266,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_05_ctp_01,0.68670000,1.12795710,1.06067239,0.53580194,0.55253518,0.80462383,0.78025621,0.00000340,0.19537617,0.21974379,0.00000340,0.96971551,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_05_ctp_02,0.75670000,1.35164843,1.25588938,0.56617896,0.58736749,0.77622240,0.74822117,0.00000730,0.22377760,0.25177883,0.00000730,0.96392628,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_05_ctp_03,0.82670000,1.63046253,1.49265371,0.58866267,0.61523690,0.74420817,0.71206323,0.00001506,0.25579183,0.28793677,0.00001506,0.95680651,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_05_ctp_04,0.89670000,1.99756065,1.79366774,0.60078733,0.63401533,0.70705400,0.66999814,0.00003889,0.29294600,0.33000186,0.00003889,0.94759118,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_05_ctp_05,0.96670000,2.52321462,2.20444425,0.59835715,0.64015924,0.66221086,0.61896881,0.00008667,0.33778914,0.38103119,0.00008667,0.93470048,0.00000000,0.04990000,9.98000000,0.00000000,0.00,0.05
shear_03_veer_06_ctp_00,0.61670000,0.94965046,0.90161409,0.49696869,0.51003570,0.82704022,0.80585162,0.00000032,0.17295978,0.19414838,0.00000032,0.97438021,0.00000000,0.09970000,19.94000000,0.00000000,0.00,0.10
