CT,a,shear,veer
0.6167,0.18935368,0,0
0.6867,0.21807462,0,0
0.7567,0.24969843,0,0
0.8267,0.28533938,0,0
0.8967,0.32697041,0,0
0.9667,0.378142,0,0
0.6167,0.19069792,0,0.05
0.6867,0.21974379,0,0.05
0.7567,0.25177883,0,0.05
0.8267,0.28793677,0,0.05
0.8967,0.33000186,0,0.05
0.9667,0.38103119,0,0.05
0.6167,0.19414838,0,0.1
0.6867,0.22404497,0,0.1
0.7567,0.25721909,0,0.1
0.8267,0.29483214,0,0.1
0.8967,0.33867513,0,0.1
0.9667,0.39175496,0,0.1
0.6167,0.19835119,0,0.15
0.6867,0.22921853,0,0.15
0.7567,0.26368204,0,0.15
0.8267,0.30303457,0,0.15
0.8967,0.34941383,0,0.15
0.9667,0.40577826,0,0.15
0.6167,0.2022383,0,0.2
0.6867,0.23392958,0,0.2
0.7567,0.26954227,0,0.2
0.8267,0.31037311,0,0.2
0.8967,0.35875337,0,0.2
0.9667,0.41779336,0,0.2
0.6167,0.18795352,0.01,0
0.6867,0.21687455,0.01,0
0.7567,0.24921218,0.01,0
0.8267,0.2870035,0.01,0
0.8967,0.3342047,0.01,0
0.9667,0.3996334,0.01,0
0.6167,0.18957671,0.01,0.05
0.6867,0.21892803,0.01,0.05
0.7567,0.25186177,0.01,0.05
0.8267,0.29046618,0.01,0.05
0.8967,0.33918551,0.01,0.05
0.9667,0.40918675,0.01,0.05
0.6167,0.19366401,0.01,0.1
0.6867,0.2240711,0.01,0.1
0.7567,0.25844319,0.01,0.1
0.8267,0.29902586,0.01,0.1
0.8967,0.35088778,0.01,0.1
0.9667,0.42510261,0.01,0.1
0.6167,0.19844921,0.01,0.15
0.6867,0.23001434,0.01,0.15
0.7567,0.26588692,0.01,0.15
0.8267,0.30837261,0.01,0.15
0.8967,0.36300681,0.01,0.15
0.9667,0.43990692,0.01,0.15
0.6167,0.2026819,0.01,0.2
0.6867,0.23520988,0.01,0.2
0.7567,0.27232315,0.01,0.2
0.8267,0.31618308,0.01,0.2
0.8967,0.37084214,0.01,0.2
0.9667,0.44662616,0.01,0.2
0.6167,0.18578275,0.02,0
0.6867,0.21723231,0.02,0
0.7567,0.25738129,0.02,0
0.8267,0.31627836,0.02,0
0.8967,0.36094238,0.02,0
0.9667,0.44033816,0.02,0
0.6167,0.18792194,0.02,0.05
0.6867,0.22016863,0.02,0.05
0.7567,0.26233962,0.02,0.05
0.8267,0.32282998,0.02,0.05
0.8967,0.37021545,0.02,0.05
0.9667,0.44715141,0.02,0.05
0.6167,0.19316205,0.02,0.1
0.6867,0.22721732,0.02,0.1
0.7567,0.27258373,0.02,0.1
0.8267,0.3356293,0.02,0.1
0.8967,0.3923957,0.02,0.1
0.9667,0.47154296,0.02,0.1
0.6167,0.19917783,0.02,0.15
0.6867,0.23446941,0.02,0.15
0.7567,0.28178682,0.02,0.15
0.8267,0.34581123,0.02,0.15
0.8967,0.40516893,0.02,0.15
0.9667,0.48097834,0.02,0.15
0.6167,0.20389956,0.02,0.2
0.6867,0.2397199,0.02,0.2
0.7567,0.28625458,0.02,0.2
0.8267,0.35111724,0.02,0.2
0.8967,0.41394965,0.02,0.2
0.9667,0.4847768,0.02,0.2
0.6167,0.19548125,0.03,0
0.6867,0.2384018,0.03,0
0.7567,0.27846386,0.03,0
0.8267,0.33096869,0.03,0
0.8967,0.37623784,0.03,0
0.9667,0.43162787,0.03,0
0.6167,0.19931956,0.03,0.05
0.6867,0.24260325,0.03,0.05
0.7567,0.28761215,0.03,0.05
0.8267,0.33442194,0.03,0.05
0.8967,0.38791369,0.03,0.05
0.9667,0.44110005,0.03,0.05
0.6167,0.20693275,0.03,0.1
0.6867,0.25188549,0.03,0.1
0.7567,0.3017378,0.03,0.1
0.8267,0.35136489,0.03,0.1
0.8967,0.40632461,0.03,0.1
0.9667,0.46233963,0.03,0.1
0.6167,0.21241858,0.03,0.15
0.6867,0.26069097,0.03,0.15
0.7567,0.30689615,0.03,0.15
0.8267,0.3626488,0.03,0.15
0.8967,0.41778149,0.03,0.15
0.9667,0.47631937,0.03,0.15
0.6167,0.21328877,0.03,0.2
0.6867,0.26276922,0.03,0.2
0.7567,0.31114235,0.03,0.2
0.8267,0.36398845,0.03,0.2
0.8967,0.41992435,0.03,0.2
0.9667,0.48448893,0.03,0.2
