shear,veer,CT_wrf,a_wrf,CT_sad_near,a_sad_near,a_sad_interp,interp_in_bounds,err_interp,err_near,abs_dCT_to_near
0.0,0.0,0.899162168,0.337443415,0.8967,0.32697041,0.3287703107343874,True,-0.00867310426561263,-0.010473005000000035,0.002462167999999987
0.0,0.2,0.886923656,0.352548779,0.8967,0.35875337,0.3519964833632937,True,-0.0005522956367062792,0.006204591000000037,0.009776344000000048
0.0,0.05,0.898594593,0.339385281,0.8967,0.33000186,0.33138300016303834,True,-0.00800228083696164,-0.009383421000000003,0.0018945929999999445
0.0,0.1,0.89612321,0.342749337,0.8967,0.33867513,0.3383138700256842,True,-0.004435466974315794,-0.004074206999999996,0.0005767900000001047
0.0,0.15,0.89209019,0.347249107,0.8967,0.34941383,0.3463595503351342,True,-0.0008895566648657871,0.0021647229999999795,0.0046098100000000475
0.01,0.0,0.901180921,0.336060614,0.8967,0.3342047,0.33839299765475284,True,0.0023323836547528565,-0.0018559139999999585,0.004480920999999971
0.01,0.05,0.900520917,0.338074402,0.8967,0.33918551,0.3430064946848154,True,0.004932092684815426,0.0011111080000000273,0.0038209169999999792
0.01,0.1,0.89787802,0.341584271,0.8967,0.35088778,0.3521367307719514,True,0.010552459771951406,0.009303508999999988,0.0011780200000000018
0.01,0.15,0.893577163,0.346312857,0.8967,0.36300681,0.3605694714110657,True,0.014256614411065738,0.01669395300000004,0.003122837000000045
0.02,0.0,0.90526973,0.334111954,0.8967,0.36094238,0.3706623856819914,True,0.0365504316819914,0.02683042600000002,0.008569729999999942
0.02,0.05,0.904280867,0.336379725,0.8967,0.37021545,0.37854746828967595,True,0.04216774328967593,0.03383572499999998,0.007580866999999936
0.02,0.1,0.900898853,0.340452069,0.8967,0.3923957,0.39714323871561114,True,0.05669116971561111,0.05194363099999999,0.004198853000000002
0.02,0.15,0.895313606,0.346151752,0.8967,0.40516893,0.40399331344094563,True,0.057841561440945655,0.059017178,0.0013863940000000685
