CT,a_ref,shear_format,veer_format
0.8784744450,0.3457218339,-0.025,-0.200
0.8903592397,0.3384638993,-0.025,-0.130
0.8969260212,0.3352366257,-0.025,-0.067
0.8989807812,0.3356667955,-0.025,0.000
0.8959584206,0.3399984869,-0.025,0.067
0.8890878164,0.3470940581,-0.025,0.130
0.8766956233,0.3584678008,-0.025,0.200
0.8807793558,0.3439360167,-0.015,-0.200
0.8893973445,0.3392416675,-0.015,-0.130
0.8947288465,0.3369716819,-0.015,-0.067
0.8971127786,0.3371389103,-0.015,0.000
0.8955124907,0.3403722754,-0.015,0.067
0.8906331895,0.3459521166,-0.015,0.130
0.8821542109,0.3543719927,-0.015,0.200
0.8842338052,0.3431029065,0.000,-0.200
0.8917967179,0.3392514976,0.000,-0.130
0.8967371826,0.3372976143,0.000,-0.067
0.8991621676,0.3374434151,0.000,0.000
0.8979511665,0.3403842657,0.000,0.067
0.8938681488,0.3453320684,0.000,0.130
0.8869236558,0.3525487791,0.000,0.200
0.8873853115,0.3421894697,0.015,-0.200
0.8959045845,0.3376157027,0.015,-0.130
0.9013209550,0.3353098781,0.015,-0.067
0.9038000701,0.3354236290,0.015,0.000
0.9022519695,0.3386225805,0.015,0.067
0.8974266950,0.3441542790,0.015,0.130
0.8891372780,0.3524127024,0.015,0.200
0.8869692116,0.3421392510,0.025,-0.200
0.8983282641,0.3353524099,0.025,-0.130
0.9049002117,0.3321613888,0.025,-0.067
0.9072642971,0.3323798807,0.025,0.000
0.9047721109,0.3363173268,0.025,0.067
0.8979384178,0.3433855695,0.025,0.130
0.8856378191,0.3546767276,0.025,0.200
0.8872533914,0.3403211834,-0.020,-0.150
0.8929380923,0.3373694714,-0.020,-0.100
0.8965065038,0.3360976532,-0.020,-0.050
0.8978388719,0.3365717015,-0.020,0.000
0.8967509008,0.3389071331,-0.020,0.050
0.8932644264,0.3430590855,-0.020,0.100
0.8875374241,0.3488732165,-0.020,0.150
0.8878955417,0.3402423140,-0.010,-0.150
0.8927119205,0.3379698012,-0.010,-0.100
0.8960253968,0.3368966231,-0.010,-0.050
0.8974962289,0.3372654803,-0.010,0.000
0.8968188423,0.3392875227,-0.010,0.050
0.8941611573,0.3428070324,-0.010,0.100
0.8898052040,0.3475780256,-0.010,0.150
0.8898076535,0.3402110169,0.000,-0.150
0.8944184195,0.3381064751,0.000,-0.100
0.8976665636,0.3370900141,0.000,-0.050
0.8991621676,0.3374434151,0.000,0.000
0.8985945932,0.3393852805,0.000,0.050
0.8961232095,0.3427493372,0.000,0.100
0.8920901900,0.3472491069,0.000,0.150
0.8914936739,0.3390705614,0.010,-0.150
0.8963130030,0.3368097619,0.010,-0.100
0.8996728159,0.3357120974,0.010,-0.050
0.9011809209,0.3360606143,0.010,0.000
0.9005209172,0.3380744023,0.010,0.050
0.8978780200,0.3415842710,0.010,0.100
0.8935771626,0.3463128569,0.010,0.150
0.8944763828,0.3379504018,0.020,-0.150
0.9001177363,0.3350636316,0.020,-0.100
0.9038109940,0.3337189302,0.020,-0.050
0.9052697304,0.3341119539,0.020,0.000
0.9042808672,0.3363797250,0.020,0.050
0.9008988527,0.3404520685,0.020,0.100
0.8953136062,0.3461517520,0.020,0.150
0.8834520017,0.3424222308,-0.015,-0.180
0.8904176347,0.3387434734,-0.015,-0.120
0.8951556693,0.3368502105,-0.015,-0.060
0.8971127786,0.3371389103,-0.015,0.000
0.8958668433,0.3398926658,-0.015,0.060
0.8916072174,0.3449180228,-0.015,0.120
0.8848157304,0.3517988463,-0.015,0.180
0.8865589887,0.3418675936,0.000,-0.180
0.8927124282,0.3388368608,0.000,-0.120
0.8971461354,0.3371911295,0.000,-0.060
0.8982428577,0.3399534869,0.000,0.060
0.8946722708,0.3444328946,0.000,0.120
0.8890955451,0.3503555461,0.000,0.180
0.8900208041,0.3407180047,0.015,-0.180
0.8969277746,0.3371206666,0.015,-0.120
0.9017555915,0.3351851114,0.015,-0.060
0.9038000701,0.3354236290,0.015,0.000
0.9025968988,0.3381502667,0.015,0.060
0.8983864253,0.3431328769,0.015,0.120
0.8917473987,0.3498843099,0.015,0.180
