CT,a_ref,shear_format,veer_format
0.899162168,0.337443415,0,0
0.897951167,0.340384266,0,0.067
0.893868149,0.345332068,0,0.13
0.886923656,0.352548779,0,0.2
0.90380007,0.335423629,0.015,0
0.90225197,0.338622581,0.015,0.067
0.897426695,0.344154279,0.015,0.13
0.889137278,0.352412702,0.015,0.2
0.907264297,0.332379881,0.025,0
0.904772111,0.336317327,0.025,0.067
0.897938418,0.34338557,0.025,0.13
0.885637819,0.354676728,0.025,0.2
0.898594593,0.339385281,0,0.05
0.89612321,0.342749337,0,0.1
0.89209019,0.347249107,0,0.15
0.901180921,0.336060614,0.01,0
0.900520917,0.338074402,0.01,0.05
0.89787802,0.341584271,0.01,0.1
0.893577163,0.346312857,0.01,0.15
0.90526973,0.334111954,0.02,0
0.904280867,0.336379725,0.02,0.05
0.900898853,0.340452069,0.02,0.1
0.895313606,0.346151752,0.02,0.15
0.898242858,0.339953487,0,0.06
0.894672271,0.344432895,0,0.12
0.889095545,0.350355546,0,0.18
0.90380007,0.335423629,0.015,0
0.902596899,0.338150267,0.015,0.06
0.898386425,0.343132877,0.015,0.12
0.891747399,0.34988431,0.015,0.18
